Record,New_Recap,BanderID,Band_Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,Season,Day,Month,Year,OrdDay,Time,Wing,Tail,Tarsus,Fat_Score,BirdMass,BirdAge,How_Aged,Eye,Skull,PCRsex,PCRMorph,Field_Morph,Band_Location,P4_Yes_No,R6_Yes_No,Blood_Yes_No,Images_Yes_No,Spec_Data,P4GenType,P4gen,R6gen,R6GenType,age_r6,age_a1,age_a2,age_a3,Latitude,Longitude,County,State,Comments
1,N,SW,2831-20020,WTSP,W001,RW/YEL,RED/A,12-Oct-20,20.21,12,10,2020,286,840,78,x,NA,1,28.1,AHY,X,NA,NA,M,WS,WS,EMERALD,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
2,N,SW,2831-20022,WTSP,W002,RW/YEL,YEL/A,16-Oct-20,20.21,16,10,2020,290,830,77,75,NA,0,26.1,AHY,X,NA,NA,M,TS,NA,EMERALD,Y,N,Y,Y,N,1,B,basic,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
3,N,SW,2831-20023,WTSP,W003,RW/YEL,ORG/A,16-Oct-20,20.21,16,10,2020,290,920,75,73,NA,0,25.0,AHY,X,NA,NA,M,WS,WS,EMERALD,Y,N,Y,Y,N,1,B,basic,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
4,N,SW,2831-20041,WTSP,W004,RW/YEL,GRN/A,22-Oct-20,20.21,22,10,2020,296,1600,71,71,NA,2,26.6,AHY,X,NA,5,F,TS,NA,1616EAST,Y,N,Y,Y,N,1,B,basic,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
5,N,SW,2831-20043,WTSP,W005,RW/YEL,WHT/A,25-Oct-20,20.21,25,10,2020,299,1210,73,70,NA,3,26.5,HY,X,NA,5,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
6,N,SW,2831-20046,WTSP,W006,RW/YEL,DKB/A,25-Oct-20,20.21,25,10,2020,299,1320,76,75,NA,T,27.6,HY,X,NA,5,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
7,N,SW,2831-20048,WTSP,W007,RW/YEL,BR/A,28-Oct-20,20.21,28,10,2020,302,740,75,75,NA,1,27.1,AHY,X,NA,6,M,TS,NA,1616EAST,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
8,N,SW,2831-20049,WTSP,W008,RW/RED,RED/A,28-Oct-20,20.21,28,10,2020,302,850,67,x,NA,T,21.0,HY,X,NA,4,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,initial Sex PCR incorrect; not sure why
9,N,SW,2831-20050,WTSP,W009,RW/RED,YEL/A,28-Oct-20,20.21,28,10,2020,302,850,69,72,NA,2,23.3,AHY,X,NA,6,F,TS,NA,1616EAST,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
10,N,SW,2831-20053,WTSP,W010,RW/RED,ORG/A,31-Oct-20,20.21,31,10,2020,305,850,69,70,NA,2,23.6,AHY,X,NA,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
