Record,New/Recap,Band Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,PCRsex,PCRMorph,last updated:,17-Nov-2023,by:,DR,
1,N,2831-20020,WTSP,W001,RW/YEL,RED/A,12-Oct-20,M,WS,,,,,
2,N,2831-20022,WTSP,W002,RW/YEL,YEL/A,16-Oct-20,M,TS,,,,,
3,N,2831-20023,WTSP,W003,RW/YEL,ORG/A,16-Oct-20,M,WS,,,,,
4,N,2831-20041,WTSP,W004,RW/YEL,GRN/A,22-Oct-20,F,TS,,,,,
5,N,2831-20043,WTSP,W005,RW/YEL,WHT/A,25-Oct-20,F,TS,,,,,
6,N,2831-20046,WTSP,W006,RW/YEL,DKB/A,25-Oct-20,M,WS,,,,,
7,N,2831-20048,WTSP,W007,RW/YEL,BR/A,28-Oct-20,M,TS,,,,,
8,N,2831-20049,WTSP,W008,RW/RED,RED/A,28-Oct-20,F,TS,,,,,
9,N,2831-20050,WTSP,W009,RW/RED,YEL/A,28-Oct-20,F,TS,,,,,
10,N,2831-20053,WTSP,W010,RW/RED,ORG/A,31-Oct-20,F,TS,,,,,
11,N,2831-20060,WTSP,W011,RW/RED,DKB/A,02-Nov-20,M,WS,,,,,
12,N,2831-20061,WTSP,W012,RW/RED,GRN/A,02-Nov-20,NA,TS,,,,,
13,N,2831-20062,WTSP,W013,RW/RED,WHT/A,02-Nov-20,M,TS,,,,,
14,N,2831-20065,WTSP,W014,none,A,03-Nov-20,M,WS,,,,,
15,N,2831-20066,WTSP,W015,BW/YEL,RED/A,03-Nov-20,F,TS,,,,,
16,N,2831-20067,WTSP,W016,BW/YEL,YEL/A,03-Nov-20,M,WS,,,,,
17,N,2831-20068,WTSP,W017,RW/RED,BR/A,03-Nov-20,F,TS,,,,,
18,N,2741-45645,WTSP,W018,BW/YEL,ORG/A,05-Nov-20,F,TS,,,,,
19,N,2831-20074,WTSP,W019,BW/YEL,DKB/A,06-Nov-20,M,TS,,,,,
20,N,2831-20075,WTSP,W020,BW/YEL,GRN/A,06-Nov-20,M,WS,,,,,
21,N,2831-20078,WTSP,W021,BW/YEL,WHT/A,07-Nov-20,F,TS,,,,,
22,N,2831-20079,WTSP,W022,BW/YEL,BR/A,07-Nov-20,F,TS,,,,,
